run_id,run_at,config_name,config_description,period,timeframe,dynamic_positions,dynamic_threshold,min_score,indicators,symbol,initial_balance,final_balance,profit_30d,profit_60d,profit_90d,total_trades,winning_trades,losing_trades,neutral_skipped,total_signals,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,max_drawdown_pct,profit_factor,sharpe_approx
bt_20260228_101046_mean_reversion,2026-02-28T10:10:46.097614,mean_reversion,Base configuration - similar to current production,2025,60mm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_101052_breakout,2026-02-28T10:10:52.129031,breakout,Base configuration - similar to current production,all,60mm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_101119_scalping,2026-02-28T10:11:19.751053,scalping,Base configuration - similar to current production,2025,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10122.0,30.3,152.32,152.32,18,8,10,4562,4580,44.4,10.34,-9.93,1.22,2.65,0.83,-0.91
bt_20260228_101126_volatility,2026-02-28T10:11:26.651644,volatility,Base configuration - similar to current production,2024,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_101136_conservative,2026-02-28T10:11:36.862784,conservative,Base configuration - similar to current production,2025,Dm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_101145_low_volatility,2026-02-28T10:11:45.274565,low_volatility,Base configuration - similar to current production,2025,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10122.0,30.3,152.32,152.32,18,8,10,4562,4580,44.4,10.34,-9.93,1.22,2.65,0.83,-0.91
bt_20260228_104044_strict,2026-02-28T10:40:44.629292,strict,"Strict entry - higher min_score, more agreement required",all,15m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10010.0,0.0,112.52,112.52,3,1,2,3632,3635,33.3,52.57,-3.12,0.1,1.02,8.41,9.29
bt_20260228_111049_base,2026-02-28T11:10:49.137359,base,Base configuration - similar to current production,2024,15m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_111055_base,2026-02-28T11:10:55.378214,base,Base configuration - similar to current production,2025,15m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_111059_base,2026-02-28T11:10:59.792565,base,Base configuration - similar to current production,2024,Dm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_111144_strict,2026-02-28T11:11:44.584912,strict,"Strict entry - higher min_score, more agreement required",all,60m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10053.0,0.0,35.65,35.65,2,2,0,84918,84920,100.0,6.64,0,0.53,0.0,inf,23.41
bt_20260228_111230_base,2026-02-28T11:12:30.974029,base,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_111316_dynamic_on,2026-02-28T11:13:16.825511,dynamic_on,Base + dynamic positions enabled,all,60m,True,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_114146_scalping,2026-02-28T11:41:46.741992,scalping,Base configuration - similar to current production,2024,15m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_114201_volatility,2026-02-28T11:42:01.073033,volatility,Base configuration - similar to current production,2024,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_114206_volatility,2026-02-28T11:42:06.633482,volatility,Base configuration - similar to current production,2025,Dm,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0
bt_20260228_114253_scalping,2026-02-28T11:42:53.682616,scalping,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_114340_mean_reversion,2026-02-28T11:43:40.087850,mean_reversion,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_114424_conservative,2026-02-28T11:44:24.429859,conservative,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_114519_low_volatility,2026-02-28T11:45:19.133032,low_volatility,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_120504_btc_focused,2026-02-28T12:05:04.288492,btc_focused,BTC with lower threshold for more trades,all,60m,True,0.2,0.1,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,3968048.0,-1568.0,-704.69,7615.22,689,445,244,1616,2305,64.6,1.48,-1.68,39580.48,19.05,1.61,1.91
bt_20260228_120611_btc_focused,2026-02-28T12:06:11.508007,btc_focused,BTC focused - balanced params,all,60m,True,0.2,0.18,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,536647.0,-435.06,96.24,5634.18,393,261,132,4012,4405,66.4,1.71,-1.48,5266.47,7.76,2.28,3.3
bt_20260228_120643_btc_focused,2026-02-28T12:06:43.793711,btc_focused,BTC focused - stricter for high volatility,all,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,19617.0,-61.31,63.47,791.73,114,77,37,6197,6311,67.5,1.95,-2.27,96.17,1.99,1.79,2.43
bt_20260228_120713_us100_focused,2026-02-28T12:07:13.535099,us100_focused,US100/Nasdaq focused - lower threshold for indices,all,60m,True,0.2,0.12,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,1.0899210991938444e+29,-601.94,469.6,3497.6,10839,6582,4257,32489,43328,60.7,0.32,-0.26,1.0899210991938445e+27,22.42,1.94,1.41
bt_20260228_121115_base,2026-02-28T12:11:15.100567,base,Base configuration - similar to current production,recent,60m,False,0.25,0.15,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,927519.0,-603.1,-931.9,4925.29,498,318,180,3240,3738,63.9,1.65,-1.73,9175.19,14.92,1.68,2.13
bt_20260228_121121_dynamic_on,2026-02-28T12:11:21.735856,dynamic_on,Base + dynamic positions enabled,recent,60m,True,0.25,0.15,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,927519.0,-603.1,-931.9,4925.29,498,318,180,3240,3738,63.9,1.65,-1.73,9175.19,14.92,1.68,2.13
bt_20260228_121125_base,2026-02-28T12:11:25.037843,base,Base configuration - similar to current production,all,60m,False,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9259.0,-777.05,-740.9,-740.9,19,5,14,658,677,26.3,21.21,-30.66,-7.41,10.39,0.25,-6.59
bt_20260228_121127_dynamic_aggressive,2026-02-28T12:11:27.812301,dynamic_aggressive,Dynamic positions with lower threshold (close more trades),recent,60m,True,0.15,0.1,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,2549587.0,-1607.88,-1004.35,6321.89,664,421,243,1814,2478,63.4,1.53,-1.69,25395.87,19.44,1.57,1.83
bt_20260228_121131_dynamic_on,2026-02-28T12:11:31.847709,dynamic_on,Base + dynamic positions enabled,all,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9259.0,-777.05,-740.9,-740.9,19,5,14,658,677,26.3,21.21,-30.66,-7.41,10.39,0.25,-6.59
bt_20260228_121134_no_rsi,2026-02-28T12:11:34.754937,no_rsi,Without RSI indicator,recent,60m,False,0.25,0.15,"StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,927519.0,-603.1,-931.9,4925.29,498,318,180,3240,3738,63.9,1.65,-1.73,9175.19,14.92,1.68,2.13
bt_20260228_121137_dynamic_aggressive,2026-02-28T12:11:37.737396,dynamic_aggressive,Dynamic positions with lower threshold (close more trades),all,60m,True,0.15,0.23,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9518.0,-331.61,-481.61,-481.61,31,12,19,572,603,38.7,23.92,-19.76,-4.82,8.54,0.76,-1.14
bt_20260228_121143_momentum_only,2026-02-28T12:11:43.195373,momentum_only,Only momentum-based indicators,recent,60m,False,0.25,0.2,"RSI,MACD,Momentum",BTC,10000.0,247821.0,-296.47,-389.46,5168.83,314,210,104,4685,4999,66.9,1.77,-1.94,2378.21,7.76,1.85,2.51
bt_20260228_121144_no_rsi,2026-02-28T12:11:44.293014,no_rsi,Without RSI indicator,all,60m,False,0.25,0.28,"StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9259.0,-777.05,-740.9,-740.9,19,5,14,658,677,26.3,21.21,-30.66,-7.41,10.39,0.25,-6.59
bt_20260228_121151_strict,2026-02-28T12:11:51.769382,strict,"Strict entry - higher min_score, more agreement required",recent,60m,False,0.25,0.25,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,72584.0,15.79,325.0,1937.87,171,116,55,5762,5933,67.8,2.02,-2.04,625.84,7.76,2.09,3.14
bt_20260228_121152_momentum_only,2026-02-28T12:11:52.175280,momentum_only,Only momentum-based indicators,all,60m,False,0.25,0.33,"RSI,MACD,Momentum",XAG,10000.0,9427.0,-380.77,-573.15,-573.15,7,2,5,755,762,28.6,2.23,-41.96,-5.73,5.8,0.02,-11.87
bt_20260228_121153_base,2026-02-28T12:11:53.099288,base,Base configuration - similar to current production,recent,60m,False,0.25,0.2,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,1.0253078535922328e+18,-104.0,776.71,3946.93,5475,3457,2018,69118,74593,63.1,0.35,-0.24,1.0253078535922228e+16,19.78,2.44,1.91
bt_20260228_121155_base,2026-02-28T12:11:55.668519,base,Base configuration - similar to current production,all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_121159_strict,2026-02-28T12:11:59.077529,strict,"Strict entry - higher min_score, more agreement required",all,60m,False,0.25,0.38,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9800.0,0.0,-200.0,-200.0,2,0,2,774,776,0.0,0,-21.55,-2.0,2.0,0.0,-15.87
bt_20260228_121201_btc_focused,2026-02-28T12:12:01.686828,btc_focused,BTC focused - stricter for high volatility,recent,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,19617.0,-61.31,63.47,791.73,114,77,37,6197,6311,67.5,1.95,-2.27,96.17,1.99,1.79,2.43
bt_20260228_121210_scalp,2026-02-28T12:12:10.836846,scalp,"Scalping config - more trades, shorter holds",recent,60m,True,0.15,0.15,"RSI,MACD,Bollinger",BTC,10000.0,17372.0,-958.68,-1322.13,-1531.08,491,201,290,3189,3680,40.9,2.08,-1.4,73.72,27.49,1.03,0.12
bt_20260228_121211_btc_focused,2026-02-28T12:12:11.737210,btc_focused,BTC focused - stricter for high volatility,all,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9626.0,-394.08,-374.14,-374.14,19,5,14,658,677,26.3,21.21,-30.66,-3.74,5.31,0.25,-6.59
bt_20260228_121217_scalp_aggressive,2026-02-28T12:12:17.431652,scalp_aggressive,Aggressive scalping - more trades,recent,60m,True,0.1,0.12,"RSI,MACD,Bollinger",BTC,10000.0,18945.0,-337.02,152.29,16.49,584,256,328,2288,2872,43.8,2.25,-1.38,89.45,8.17,1.27,0.96
bt_20260228_121217_scalp,2026-02-28T12:12:17.838488,scalp,"Scalping config - more trades, shorter holds",all,60m,True,0.15,0.2,"RSI,MACD,Bollinger",XAG,10000.0,10348.0,114.06,347.95,347.95,35,15,20,428,463,42.9,68.65,-43.23,3.48,7.26,1.19,1.13
bt_20260228_121225_btc_conservative,2026-02-28T12:12:25.548825,btc_conservative,"BTC conservative - higher min_score, less trades",recent,60m,False,0.25,0.25,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,27640.0,9.69,166.35,941.66,171,116,55,5762,5933,67.8,2.02,-2.04,176.4,3.94,2.09,3.14
bt_20260228_121230_btc_conservative,2026-02-28T12:12:30.442357,btc_conservative,"BTC conservative - higher min_score, less trades",all,60m,False,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9626.0,-394.08,-374.14,-374.14,19,5,14,658,677,26.3,21.21,-30.66,-3.74,5.31,0.25,-6.59
bt_20260228_121235_us100_focused,2026-02-28T12:12:35.044539,us100_focused,US100/Nasdaq focused - balanced for indices,recent,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",BTC,10000.0,37001.0,-125.39,119.95,1616.41,114,77,37,6197,6311,67.5,1.95,-2.27,270.01,3.96,1.79,2.43
bt_20260228_121237_us100_focused,2026-02-28T12:12:37.194517,us100_focused,US100/Nasdaq focused - balanced for indices,all,60m,True,0.25,0.28,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9259.0,-777.05,-740.9,-740.9,19,5,14,658,677,26.3,21.21,-30.66,-7.41,10.39,0.25,-6.59
bt_20260228_121240_dynamic_on,2026-02-28T12:12:40.043692,dynamic_on,Base + dynamic positions enabled,recent,60m,True,0.25,0.2,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,1.0253078535922328e+18,-104.0,776.71,3946.93,5475,3457,2018,69118,74593,63.1,0.35,-0.24,1.0253078535922228e+16,19.78,2.44,1.91
bt_20260228_121245_xag_focused,2026-02-28T12:12:45.045518,xag_focused,Silver focused - different params for commodities,all,60m,True,0.2,0.2,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAG,10000.0,9576.0,-307.95,-424.01,-424.01,40,15,25,484,524,37.5,27.65,-20.48,-4.24,8.09,0.81,-0.9
bt_20260228_121247_dynamic_on,2026-02-28T12:12:47.800159,dynamic_on,Base + dynamic positions enabled,all,60m,True,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_121332_dynamic_aggressive,2026-02-28T12:13:32.754974,dynamic_aggressive,Dynamic positions with lower threshold (close more trades),recent,60m,True,0.15,0.15,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,2.869167116488499e+24,-645.14,1162.67,5731.93,8320,5201,3119,49242,57562,62.5,0.33,-0.26,2.869167116488499e+22,20.36,2.07,1.48
bt_20260228_121414_dynamic_aggressive,2026-02-28T12:14:14.704508,dynamic_aggressive,Dynamic positions with lower threshold (close more trades),all,60m,True,0.15,0.25,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,13513.0,310.15,-175.62,-397.47,105,57,48,84138,84243,54.3,8.32,-9.39,35.13,11.18,1.05,0.2
bt_20260228_121452_no_rsi,2026-02-28T12:14:52.201032,no_rsi,Without RSI indicator,recent,60m,False,0.25,0.2,"StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,1.0253078535922328e+18,-104.0,776.71,3946.93,5475,3457,2018,69118,74593,63.1,0.35,-0.24,1.0253078535922228e+16,19.78,2.44,1.91
bt_20260228_121545_no_rsi,2026-02-28T12:15:45.783642,no_rsi,Without RSI indicator,all,60m,False,0.25,0.3,"StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_121623_momentum_only,2026-02-28T12:16:23.763534,momentum_only,Only momentum-based indicators,recent,60m,False,0.25,0.25,"RSI,MACD,Momentum",US100,10000.0,9001357212194.0,-196.89,389.01,2714.1,3448,2177,1271,82516,85964,63.1,0.38,-0.22,90013572021.94,24.53,2.97,2.41
bt_20260228_121721_momentum_only,2026-02-28T12:17:22.032892,momentum_only,Only momentum-based indicators,all,60m,False,0.25,0.35,"RSI,MACD,Momentum",XAU,10000.0,10619.0,0.0,48.13,48.13,19,8,11,84845,84864,42.1,2.84,-1.32,6.19,2.0,1.57,1.58
bt_20260228_121817_strict,2026-02-28T12:18:17.377640,strict,"Strict entry - higher min_score, more agreement required",recent,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,472150558.0,-4.46,465.09,2348.96,1664,1063,601,93020,94684,63.9,0.5,-0.2,4721405.58,12.25,4.29,2.98
bt_20260228_121906_strict,2026-02-28T12:19:06.286457,strict,"Strict entry - higher min_score, more agreement required",all,60m,False,0.25,0.4,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10053.0,0.0,35.65,35.65,2,2,0,84918,84920,100.0,6.64,0,0.53,0.0,inf,23.41
bt_20260228_121949_btc_focused,2026-02-28T12:19:49.484762,btc_focused,BTC focused - stricter for high volatility,recent,60m,True,0.25,0.2,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,167345232818.0,-46.39,397.31,1847.95,5475,3457,2018,69118,74593,63.1,0.35,-0.24,1673452228.18,10.35,2.44,1.91
bt_20260228_122050_btc_focused,2026-02-28T12:20:50.184090,btc_focused,BTC focused - stricter for high volatility,all,60m,True,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10750.0,15.15,77.4,77.4,37,19,18,84628,84665,51.4,8.02,-5.56,7.5,1.33,1.52,1.5
bt_20260228_122100_scalp,2026-02-28T12:21:00.617886,scalp,"Scalping config - more trades, shorter holds",recent,60m,True,0.15,0.15,"RSI,MACD,Bollinger",US100,10000.0,6248005335257255.0,-389.74,1496.0,4311.39,8996,3953,5043,50527,59523,43.9,0.35,-0.19,62480053352472.55,18.82,1.4,0.77
bt_20260228_122247_scalp_aggressive,2026-02-28T12:22:47.361775,scalp_aggressive,Aggressive scalping - more trades,recent,60m,True,0.1,0.12,"RSI,MACD,Bollinger",US100,10000.0,66531619173.0,461.49,1606.57,3654.86,10989,4743,6246,38634,49623,43.2,0.37,-0.19,665316091.73,11.2,1.48,0.87
bt_20260228_122259_scalp,2026-02-28T12:22:59.656093,scalp,"Scalping config - more trades, shorter holds",all,60m,True,0.15,0.2,"RSI,MACD,Bollinger",XAU,10000.0,18806.0,394.87,248.04,-274.6,315,129,186,82517,82832,41.0,10.92,-4.63,88.06,11.63,1.64,1.48
bt_20260228_122441_scalp_aggressive,2026-02-28T12:24:41.364342,scalp_aggressive,Aggressive scalping - more trades,all,60m,True,0.1,0.15,"RSI,MACD,Bollinger",XAU,10000.0,30309.0,294.77,142.17,-115.35,962,391,571,78221,79183,40.6,5.5,-2.92,203.09,8.37,1.29,0.68
bt_20260228_122552_scalp_aggressive,2026-02-28T12:25:52.554581,scalp_aggressive,Aggressive scalping - more trades,recent,60m,True,0.1,0.12,"RSI,MACD,Bollinger",US100,10000.0,66531619173.0,461.49,1606.57,3654.86,10989,4743,6246,38634,49623,43.2,0.37,-0.19,665316091.73,11.2,1.48,0.87
bt_20260228_122858_scalp_aggressive,2026-02-28T12:28:58.354608,scalp_aggressive,Aggressive scalping - more trades,all,60m,True,0.1,0.15,"RSI,MACD,Bollinger",XAU,10000.0,30309.0,294.77,142.17,-115.35,962,391,571,78221,79183,40.6,5.5,-2.92,203.09,8.37,1.29,0.68
bt_20260228_122901_btc_conservative,2026-02-28T12:29:01.406920,btc_conservative,"BTC conservative - higher min_score, less trades",all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10750.0,15.15,77.4,77.4,37,19,18,84628,84665,51.4,8.02,-5.56,7.5,1.33,1.52,1.5
bt_20260228_122913_btc_conservative,2026-02-28T12:29:13.365430,btc_conservative,"BTC conservative - higher min_score, less trades",all,60m,False,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,10750.0,15.15,77.4,77.4,37,19,18,84628,84665,51.4,8.02,-5.56,7.5,1.33,1.52,1.5
bt_20260228_122918_us100_focused,2026-02-28T12:29:18.113911,us100_focused,US100/Nasdaq focused - balanced for indices,all,60m,True,0.25,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_122920_xag_focused,2026-02-28T12:29:20.461160,xag_focused,Silver focused - different params for commodities,all,60m,True,0.2,0.3,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",XAU,10000.0,11536.0,30.3,152.32,152.32,37,19,18,84628,84665,51.4,8.02,-5.56,15.36,2.65,1.52,1.5
bt_20260228_122942_btc_conservative,2026-02-28T12:29:42.544512,btc_conservative,"BTC conservative - higher min_score, less trades",recent,60m,False,0.25,0.2,"RSI,StochRSI,MACD,Bollinger,SMA,Volume,Momentum,Patterns",US100,10000.0,167345232818.0,-46.39,397.31,1847.95,5475,3457,2018,69118,74593,63.1,0.35,-0.24,1673452228.18,10.35,2.44,1.91
